Index Real_Part Imagine_part Amplitude
0 0 0 0
1 0.797573 -1.2102 1.44938
2 -0.158777 -0.690472 0.708493
3 0 0 0
4 1.1272 0.060662 1.12883
5 1.12555 -1.13615 1.59928
6 -1.71974 -1.04272 2.01116
7 0.927594 -1.19744 1.51469
8 0.396308 2.28565 2.31975
9 2.07949 -0.742624 2.20812
10 1.87379 1.56217 2.43956
11 0 0 0
12 0.314944 0.64487 0.717668
13 0 0 0
14 -0.103045 1.31315 1.31719
15 0 0 0
16 -0.540999 1.0227 1.15698
17 0.746855 0.085009 0.751677
18 0 0 0
19 0.88493 -0.168498 0.900829
20 1.33825 -1.93656 2.35397
21 0.739866 -0.179055 0.761224
22 1.29485 0.499697 1.38792
23 0.734546 -0.665113 0.990925
24 0.486019 1.31188 1.39902
25 2.47713 -1.44714 2.86886
26 0.560034 1.98435 2.06187
27 1.97563 2.13823 2.91121
28 -1.02482 3.85263 3.9866
29 -2.13135 1.61389 2.67344
30 -2.97994 -0.465925 3.01614
31 -3.71762 -4.48431 5.82492
32 0.313022 -4.03577 4.04789
33 3.91988 -5.35889 6.63951
34 5.36398 -2.59939 5.96063
35 8.10667 -0.156397 8.10818
36 6.81656 4.2125 8.01315
37 6.08045 9.14725 10.9838
38 -0.594569 12.9294 12.943
39 -11.3296 11.3439 16.0326
40 -22.0989 3.62272 22.3938
41 -24.16 -15.8421 28.8908
42 -13.0554 -32.9862 35.4758
43 13.8954 -41.2511 43.5285
44 39.683 -27.7935 48.4481
45 51.4122 3.28968 51.5173
46 36.9588 34.8711 50.8129
47 1.70769 46.9881 47.0191
48 -30.1784 30.362 42.8088
49 -38.7431 -7.62727 39.4867
50 -15.6765 -37.9089 41.0224
51 26.1785 -42.309 49.7531
52 55.9935 -11.9567 57.2559
53 56.3721 30.959 64.3138
54 24.8188 60.751 65.6251
55 -16.153 58.5678 60.7545
56 -40.9974 31.45 51.671
57 -38.1264 -1.0271 38.1402
58 -17.3469 -15.1274 23.0164
59 1.293 -8.56687 8.6639
60 3.27105 6.24846 7.05288
61 -8.48638 12.2154 14.8739
62 -18.325 3.33046 18.6252
63 -15.1895 -11.7912 19.2289
64 0.507046 -16.9156 16.9231
65 14.6525 -7.30224 16.3712
66 14.1984 10.4797 17.647
67 -0.078583 20.7044 20.7045
68 -16.0308 14.1703 21.3958
69 -21.1389 -1.56075 21.1964
70 -10.2404 -14.2883 17.579
71 4.48083 -13.2326 13.9707
72 11.5765 -0.566773 11.5903
73 5.98044 10.5064 12.0893
74 -6.38351 11.7251 13.3502
75 -12.8619 3.87512 13.433
76 -9.59569 -6.56147 11.6246
77 -1.40278 -7.89228 8.01597
78 4.77618 -3.15368 5.72343
79 2.53263 3.39725 4.2374
80 -2.10489 4.56693 5.02866
81 -4.94389 0.955564 5.03539
82 -3.03845 -2.64051 4.02548
83 0.61615 -1.38654 1.51728
84 1.62567 1.38256 2.13407
85 -1.84871 3.70484 4.14048
86 -4.18893 1.58642 4.47927
87 -3.91784 -1.93849 4.37118
88 -0.386256 -2.89895 2.92457
89 2.50483 0.098461 2.50676
90 0.724772 3.25798 3.33762
91 -3.21148 4.44697 5.48536
92 -5.04038 0.891146 5.11855
93 -4.4683 -2.82789 5.28797
94 0.76847 -2.78692 2.89093
95 2.38006 -0.682463 2.47598
96 1.84289 4.05108 4.45056
97 -1.20764 4.53885 4.69676
98 -3.39663 3.66073 4.9938
99 -3.54469 1.94632 4.04388
100 -2.29185 1.9058 2.98071
101 -4.1141 2.28258 4.70489
102 -4.30832 2.04306 4.7682
103 -5.14883 -1.39274 5.33387
104 -1.36184 -1.39636 1.95049
105 2.0173 0.896071 2.20736
106 1.04145 7.99756 8.06508
107 -6.67673 12.3411 14.0315
108 -16.4132 9.05989 18.7477
109 -22.8141 -1.96934 22.8989
110 -17.6186 -14.3026 22.6931
111 -6.51609 -20.611 21.6165
112 5.40741 -15.2723 16.2014
113 8.97704 -6.29962 10.9669
114 4.40903 1.79815 4.76161
115 -2.33738 0.854109 2.48855
116 -4.08273 -3.21667 5.19766
117 -1.37124 -7.93897 8.05652
118 4.59255 -5.16615 6.91235
119 4.85829 -1.21252 5.00731
120 1.92862 3.43638 3.94059
121 -2.78351 0.763383 2.8863
122 -3.17799 -1.59869 3.55745
123 -0.649893 -4.22824 4.2779
124 2.38316 -1.46671 2.79834
125 1.32558 0.68242 1.49092
126 -1.57601 2.60819 3.04737
127 -4.10844 -1.67531 4.43688
128 -2.43367 -2.7327 3.65929
129 1.01776 -5.49772 5.59113
130 2.85779 -0.124511 2.8605
131 2.10167 0.935149 2.30033
132 -2.23894 3.1727 3.88315
133 -3.29917 -0.482512 3.33427
134 -3.03356 -2.21362 3.75535
135 -0.455959 -3.80146 3.82871
136 1.31709 -0.765545 1.52342
137 0.655934 -1.08506 1.26792
138 -1.08435 2.02674 2.29858
139 -0.565143 -1.4992 1.60218
140 -2.42024 0.273325 2.43563
141 0.18996 -0.996445 1.01439
142 -1.40632 0.222319 1.42378
143 -2.38206 -0.222584 2.39243
144 -1.3556 -0.228605 1.37474
145 -1.85227 -3.28416 3.77049
146 -0.701487 1.86513 1.99269
147 0.655187 -1.91191 2.02106
148 -5.8188 2.67176 6.40287
149 -0.58512 -0.982787 1.14378
150 -6.25968 -3.87878 7.364
151 -0.494063 -0.865 0.996154
152 0.69738 -3.50821 3.57685
153 -3.36728 0.75398 3.45066
154 -0.637768 2.34674 2.43186
155 -5.76511 -4.38485 7.24316
156 -4.15988 1.45856 4.40818
157 0.901833 -4.33008 4.42299
158 -6.69641 2.33248 7.09101
159 -4.31447 3.89949 5.81556
160 -14.5567 -3.34569 14.9363
161 -15.9895 -5.9649 17.0659
162 -9.94245 -17.0586 19.7445
163 -7.02448 -22.2865 23.3673
164 4.68345 -18.0586 18.6561
165 10.5012 -20.1874 22.7553
166 10.4733 -9.06734 13.853
167 15.8229 -7.37103 17.4556
168 9.74235 -3.40549 10.3204
169 10.6866 0.87099 10.722
170 7.78396 0.287483 7.78927
171 5.1153 0.263104 5.12206
172 5.152 1.78243 5.45162
173 6.23414 -1.22189 6.35275
174 2.75848 2.51815 3.73501
175 5.45455 2.13843 5.85875
176 0 0 0
177 1.5565 1.32357 2.04316
178 3.31044 -1.59514 3.67471
179 2.32445 -1.2218 2.626
180 4.8904 2.17266 5.3513
181 3.66986 0.570052 3.71387
182 0.216069 3.79839 3.80453
183 1.17279 1.60786 1.99014
184 -1.26723 -1.16121 1.71881
185 0.835048 -0.500409 0.973506
186 2.95182 -1.40743 3.27019
187 1.9276 -0.636213 2.02988
188 1.8393 2.28233 2.93122
189 2.05367 -0.743924 2.18426
190 -1.10252 0.347572 1.15601
191 3.31567 -0.538516 3.35912
192 1.60537 -1.55662 2.23614
193 2.78664 1.74651 3.28872
194 2.77505 1.73904 3.27493
195 -0.631236 0.991083 1.17503
196 -0.313152 1.56288 1.59395
197 1.27683 -1.86228 2.25796
198 -0.445575 -0.756119 0.877641
199 3.57173 0.379036 3.59179
200 1.35852 -1.26021 1.85303
201 1.43797 2.21376 2.63979
202 2.13608 -0.044789 2.13655
203 0.887633 0.356092 0.956396
204 1.42307 1.72703 2.2378
205 2.0087 1.18248 2.33091
206 -1.32894 1.13508 1.74771
207 0.084114 1.55559 1.55786
208 -0.09551 -2.36501 2.36694
209 0.799846 -0.664334 1.03976
210 3.66075 0.507157 3.69571
211 2.30111 0.87871 2.46318
212 -1.11508 3.91611 4.07177
213 0.679258 1.64947 1.78385
214 -4.57114 -2.30289 5.11846
215 1.30524 -0.388388 1.3618
216 2.81104 -4.72049 5.49408
217 3.44739 0.732503 3.52436
218 4.2629 4.03217 5.86777
219 3.15103 2.66554 4.12724
220 -7.33737 5.80635 9.35686
221 4.18892 2.23414 4.74746
222 -11.9799 -4.596 12.8313
223 3.15285 3.21868 4.50559
224 0.409904 -11.5731 11.5804
225 -1.95428 5.7224 6.04691
226 8.35445 -4.93623 9.70377
227 -4.40529 0.487528 4.43219
228 3.80706 2.47349 4.54002
229 2.43195 -3.4966 4.25918
230 -2.58468 1.67169 3.07817
231 5.77259 2.59303 6.32824
232 -2.57443 -3.62114 4.44301
233 -1.45524 4.97744 5.18581
234 4.39567 -5.46806 7.01581
235 -3.29326 -1.18094 3.4986
236 7.44127 2.92581 7.9958
237 0.940807 -3.61109 3.73164
238 -0.441915 6.97597 6.98995
239 3.26052 -1.511 3.59362
240 -3.8864 0.1848 3.89079
241 2.39735 1.32299 2.73817
242 1.43192 -2.7652 3.11395
243 -0.644425 1.11283 1.28596
244 4.05694 0.772703 4.12988
245 -0.235692 -1.29483 1.31611
246 1.25576 3.1553 3.39601
247 1.19547 -1.05124 1.59193
248 -0.878816 -0.345843 0.944418
249 2.30098 -1.65671 2.83535
250 5.33194 -1.49236 5.53685
251 5.27588 1.7735 5.56599
252 5.62212 8.98769 10.6013
253 -1.52664 7.03863 7.20228
254 -9.22583 8.34179 12.4379
255 -8.73409 -3.18229 9.29577
256 -8.08402 -10.3989 13.1715
257 4.40838 -12.1771 12.9505
258 12.6575 -10.2159 16.2658
259 16.1677 1.03861 16.2011
260 15.8268 10.576 19.0352
261 6.82122 15.5509 16.9811
262 -2.24127 19.314 19.4436
263 -8.9277 12.4873 15.3505
264 -15.4431 6.87393 16.9038
265 -12.2592 -1.52056 12.3532
266 -9.10448 -8.1018 12.1873
267 -1.03742 -7.55529 7.62618
268 3.0277 -4.98552 5.83287
269 3.37252 0.083786 3.37357
270 0.412477 2.51857 2.55212
271 -1.8951 0.60209 1.98844
272 -2.2107 -0.985383 2.42037
273 0.946939 -2.79965 2.95546
274 1.65044 0.284286 1.67475
275 1.9586 1.79456 2.65642
276 -2.30859 2.64572 3.51133
277 -2.40787 0.415462 2.44345
278 -2.39781 -2.58741 3.52763
279 0.580873 -1.87921 1.96694
280 1.42096 -0.705231 1.58634
281 0.589654 0.423714 0.726103
282 -1.41521 1.1612 1.83063
283 -1.09103 -2.00595 2.28345
284 -0.45058 -2.95192 2.98611
285 3.33546 -1.96118 3.8693
286 3.54138 0.443105 3.56899
287 1.02539 1.85635 2.12073
288 0.582633 3.5529 3.60035
289 -1.68878 -1.24577 2.09855
290 -2.53759 0.839118 2.67273
291 3.8994 -2.65492 4.7174
292 -2.5426 -1.6156 3.01247
293 5.94906 3.64866 6.97883
294 -1.46294 -3.58463 3.87166
295 0.046871 6.2937 6.29388
296 1.92131 -3.7626 4.22476
297 -3.71776 1.06521 3.86735
298 4.41382 -0.402066 4.43209
299 0.462764 -2.30498 2.35098
300 1.44671 3.96049 4.21645
301 2.05281 0.571713 2.13094
302 -3.36749 0.694288 3.43832
303 0 0 0
304 1.45066 -4.73178 4.94915
305 2.06006 0.056234 2.06083
306 5.64322 1.10129 5.74968
307 0.643646 2.10698 2.2031
308 -0.039211 2.9346 2.93486
309 0.496157 -0.763641 0.91067
310 1.65022 -1.47398 2.21266
311 3.7601 2.46714 4.49723
312 3.55536 2.4422 4.31334
313 -2.01467 4.04383 4.51791
314 0.362592 1.28242 1.3327
315 0.55384 -2.18708 2.25612
316 4.35313 2.30183 4.92424
317 4.15182 5.92113 7.2317
318 -3.62533 7.02914 7.90897
319 -8.60132 3.0894 9.13932
320 -5.51169 -8.57508 10.1937
321 2.63096 -12.2535 12.5327
322 16.578 -5.35129 17.4203
323 17.9223 6.20802 18.967
324 8.05148 18.9102 20.5529
325 -2.83096 16.8619 17.0979
326 -9.64688 6.02273 11.3726
327 -3.13488 0.573248 3.18686
328 8.54634 3.2223 9.13363
329 4.87152 16.7368 17.4314
330 -7.82147 28.0532 29.1232
331 -28.0618 16.4454 32.5256
332 -38.3405 -3.20735 38.4745
333 -23.7185 -26.7121 35.7226
334 1.19126 -35.7888 35.8087
335 16.3463 -18.4667 24.6621
336 31.4179 0.282002 31.4192
337 3.27028 12.1247 12.558
338 5.02802 20.684 21.2864
339 -12.544 -4.91901 13.474
340 -5.03203 8.7012 10.0515
341 5.62039 -10.3354 11.7647
342 -5.49754 9.42423 10.9105
343 3.66919 3.84018 5.3113
344 -11.3849 0.720079 11.4077
345 -4.35769 0.328359 4.37004
346 -0.57573 -6.33345 6.35956
347 -1.84126 -1.01255 2.1013
348 2.41623 1.78212 3.00235
349 -2.8011 -2.24589 3.59029
350 -0.925182 2.00661 2.20963
351 0.681134 -2.47513 2.56714
352 -0.257824 2.55656 2.56953
353 -1.99653 2.08702 2.88821
354 -3.45869 0.807043 3.55159
355 -4.85482 -2.74815 5.57867
356 0.747543 -3.32895 3.41185
357 1.49439 -2.20479 2.66351
358 2.33798 2.70784 3.57751
359 -1.98424 1.86479 2.72298
360 -2.7091 1.88732 3.3017
361 -3.31142 -3.11004 4.54289
362 0 0 0
363 0.747196 -1.84655 1.99199
364 -1.35467 2.51597 2.85749
365 -1.19339 -0.68967 1.37835
366 -2.27331 -0.669091 2.36973
367 -0.83712 -1.38281 1.61645
368 0.738746 0.037374 0.739691
369 -2.64129 -0.908314 2.79311
370 -0.949898 0.6745 1.16501
371 -1.26719 -5.22134 5.37291
372 0.950744 -0.307311 0.999177
373 4.18927 -1.59176 4.48148
374 -0.192057 2.86808 2.8745
375 -0.737765 3.19456 3.27864
376 -3.70951 -1.10078 3.86939
377 -2.56093 -2.50484 3.58226
378 2.68702 -2.83403 3.90536
379 2.11478 -1.00419 2.34109
380 1.52845 4.32533 4.58744
381 -1.64753 0.932167 1.89296
382 -4.47727 0.558762 4.512
383 -0.348962 -4.04848 4.06349
384 1.50462 -3.02495 3.37849
385 4.62504 0.493696 4.65132
386 1.52485 4.06711 4.34356
387 -1.88629 3.18348 3.70035
388 -4.04298 0.909284 4.14397
389 -1.35031 -2.85867 3.16154
390 0.595554 -1.4444 1.56236
391 2.11219 0.179941 2.11984
392 0.185543 2.65377 2.66025
393 -2.16484 0.9006 2.3447
394 -1.89726 -0.40079 1.93913
395 0.839837 -1.76534 1.95493
396 0.243698 0.9912 1.02072
397 0.859552 1.94193 2.12366
398 -3.21992 1.50777 3.55546
399 -2.52097 -0.779803 2.63882
400 -0.536884 -2.52193 2.57845
401 0.994893 -0.98712 1.40151
402 0.877797 1.18378 1.47372
403 -0.954524 1.00544 1.38637
404 -2.42154 -0.712749 2.52425
405 0.505732 -1.58325 1.66206
406 1.26304 -1.44166 1.91668
407 1.8333 2.28239 2.9275
408 -0.587402 2.45599 2.52526
409 -3.30237 1.06802 3.47078
410 -2.2465 -1.27046 2.58085
411 -0.076171 -2.47407 2.47524
412 1.12493 -1.1973 1.64286
413 1.71058 2.06302 2.67995
414 -1.0029 0.324977 1.05423
415 -1.26829 1.9329 2.31185
416 -1.03307 -0.772449 1.28993
417 -1.44245 0.153557 1.4506
418 -1.25491 -0.164985 1.26571
419 -1.06453 -1.16905 1.5811
420 -1.44697 -2.16521 2.6042
421 1.49032 -0.850563 1.71596
422 0.888338 -2.418 2.57602
423 1.69069 2.29826 2.85314
424 0 0 0
425 -1.95681 1.3248 2.36309
426 -0.004388 -1.05164 1.05165
427 -0.426587 -0.743828 0.857471
428 0.975377 -0.964183 1.3715
429 1.14827 0.803885 1.4017
430 1.34167 0.153017 1.35037
431 -0.846586 2.75363 2.88083
432 0 0 0
433 -2.5362 1.3797 2.8872
434 -0.112414 -1.11772 1.12336
435 -1.05009 1.01049 1.45732
436 -1.12282 -1.91895 2.22331
437 -1.02993 0.680726 1.23457
438 0.585812 -4.62155 4.65853
439 1.86871 0.464977 1.92569
440 2.90058 -0.121573 2.90313
441 1.92253 1.27414 2.30641
442 -1.49514 5.06532 5.28138
443 -0.806749 -1.88105 2.04675
444 -3.35234 -0.349947 3.37056
445 4.65544 -1.68147 4.94979
446 0 0 0
447 2.42651 4.22071 4.8685
448 -0.906924 -0.069894 0.909613
449 -2.29196 1.53493 2.75846
450 2.0722 -1.47948 2.54615
451 0.604458 0.643775 0.883072
452 1.63386 2.7599 3.20726
453 -1.00207 2.74834 2.92532
454 -2.93468 0.030306 2.93484
455 -0.48039 -0.552488 0.732132
456 1.63576 -2.01968 2.59901
457 1.51544 1.53865 2.15963
458 2.24993 2.36908 3.26722
459 -1.02602 1.95145 2.20473
460 -0.535009 1.9071 1.98072
461 1.17182 0.55528 1.29672
462 -0.73888 2.71095 2.80984
463 -0.312012 3.21351 3.22862
464 -2.53881 0.25813 2.5519
465 -1.84564 1.40323 2.3185
466 0.878061 -1.37506 1.63149
467 -0.681824 1.1444 1.33212
468 2.10023 2.569 3.31824
469 -2.52294 0.928075 2.68823
470 -0.454453 2.52622 2.56677
471 -0.9278 -1.46268 1.73212
472 0.34266 1.60557 1.64172
473 1.15881 1.2335 1.69244
474 -0.622346 1.12211 1.28314
475 0.897494 2.43366 2.59388
476 0.929409 1.26253 1.56773
477 -0.634823 4.15688 4.20507
478 -0.757647 3.07591 3.16785
479 -4.08131 0.255464 4.0893
480 0.050868 -2.36177 2.36232
481 6.45956 -4.91774 8.1185
482 13.5228 4.01612 14.1066
483 14.3962 16.1319 21.6215
484 2.80474 28.0054 28.1455
485 -15.4892 30.4779 34.188
486 -30.6981 18.0836 35.6285
487 -37.415 -0.834273 37.4243
488 -27.8089 -18.959 33.6568
489 -11.2622 -27.8997 30.087
490 4.94181 -22.8035 23.3328
491 15.0611 -10.4364 18.3236
492 11.6889 2.17163 11.889
493 3.64226 10.7153 11.3174
494 -6.82328 7.53336 10.1641
495 -11.685 0.300113 11.6889
496 -8.31305 -6.64734 10.644
497 -1.57618 -11.4101 11.5184
498 4.89196 -6.22656 7.91841
499 8.65719 -0.730223 8.68794
500 4.07824 5.9451 7.20946
501 -0.639705 9.76645 9.78738
502 -7.66706 5.84098 9.6385
503 -9.9091 2.40895 10.1977
504 -8.91065 -2.60159 9.28267
505 -5.91428 -5.34861 7.97411
506 -4.16649 -3.91056 5.7142
507 -1.76113 -4.20691 4.56067
508 -3.71911 -2.91574 4.72582
509 -1.6071 -3.58515 3.92888
510 -2.10705 -2.98423 3.65312
511 -2.06896 -2.48935 3.23689
512 -3.20644 -2.41448 4.01385
513 -3.35818 -4.31654 5.46899
514 -3.66578 -6.41686 7.39013
515 1.12378 -8.02375 8.10206
516 4.42486 -6.63126 7.97201
517 5.64557 -1.37186 5.80985
518 5.36261 2.06498 5.74645
519 -0.845144 3.8413 3.93317
520 -2.70217 3.16388 4.16075
521 -4.3877 -1.41195 4.60928
522 -5.43335 -2.27144 5.88904
523 -0.585477 -5.64078 5.67108
524 -1.15432 -5.80874 5.92233
525 4.2997 -3.58646 5.59912
526 4.32158 -2.06421 4.78926
527 3.39149 3.81007 5.10087
528 -1.76442 3.74939 4.1438
529 -3.59073 1.25958 3.80525
530 -6.63527 -1.92142 6.90787
531 -0.366803 -6.02368 6.03484
532 0.572477 -4.46297 4.49953
533 3.96012 -0.183044 3.96435
534 0 0 0
535 -0.39919 2.21934 2.25496
536 -4.15044 -2.71133 4.95756
537 0.764653 -1.21657 1.43692
538 -2.25457 -4.79297 5.29676
539 3.744 0.1032 3.74542
540 -0.271471 -1.85132 1.87112
541 -0.054457 1.48761 1.48861
542 -0.50171 -0.477341 0.692508
543 -2.41233 -2.33782 3.35928
544 0 0 0
545 -0.295304 -4.02664 4.03746
546 0 0 0
547 1.81632 -1.36101 2.26967
548 -1.3644 -1.63102 2.12646
549 0.728484 0.070783 0.731915
550 -0.487958 -2.55268 2.5989
551 1.42823 -1.72531 2.23976
552 0.65334 0.588993 0.87964
553 2.67905 -1.01015 2.86316
554 -2.91694 2.08004 3.58261
555 2.21263 0.035799 2.21292
556 -4.48639 -1.0367 4.60461
557 0.691307 -0.423238 0.810577
558 -0.44527 -3.01392 3.04664
559 0.958291 -0.373831 1.02863
560 0.775205 1.53775 1.7221
561 -1.09104 -0.566762 1.22947
562 -3.62956 0.639746 3.68551
563 1.10312 -3.04264 3.23644
564 -2.56448 -2.40873 3.51831
565 3.51954 -0.318822 3.53395
566 -0.105985 -1.40563 1.40962
567 -0.096026 3.55951 3.5608
568 -3.10902 -2.65391 4.08769
569 0 0 0
570 -1.76458 -2.95769 3.44408
571 2.94402 0.115044 2.94627
572 -1.13966 -1.01037 1.52305
573 -0.545344 2.31941 2.38266
574 -1.63065 -3.22609 3.61479
575 -1.41102 -0.819331 1.63165
576 2.19006 -2.6739 3.45632
577 0.801782 0.033781 0.802493
578 -0.090554 1.77343 1.77574
579 -1.22182 -0.341572 1.26867
580 -2.92741 -1.20952 3.16744
581 0.755496 -2.36988 2.48739
582 0.320928 -2.49514 2.5157
583 2.68656 1.02973 2.87714
584 -0.687338 0.376042 0.78348
585 -0.263451 2.13063 2.14686
586 -3.3502 -1.58909 3.70798
587 0 0 0
588 -2.0673 -4.47627 4.93059
589 3.16167 0.093278 3.16305
590 0 0 0
591 -0.030409 2.2378 2.23801
592 -3.01767 0.354092 3.03837
593 -2.69612 -1.80411 3.24405
594 -0.883803 -3.98532 4.08214
595 2.39102 -1.51773 2.83205
596 1.97579 -0.718696 2.10245
597 0.676611 4.21474 4.2687
598 -3.52017 0.83567 3.618
599 -5.12267 -0.303464 5.13165
600 -1.75248 -6.55442 6.78466
601 1.80285 -2.76221 3.2985
602 3.16523 -2.2335 3.87392
603 2.20162 2.02056 2.98828
604 -0.403939 2.82354 2.85228
605 -3.86511 -0.187625 3.86967
606 -1.55848 -1.69581 2.30318
607 0.370409 -3.98107 3.99827
608 2.85617 0.586688 2.91581
609 1.05999 2.04534 2.30369
610 -1.58015 3.62437 3.95386
611 -6.48086 1.91163 6.75692
612 -4.02007 -5.01675 6.42875
613 -1.4429 -3.68891 3.96106
614 2.1277 -3.33462 3.9556
615 1.14391 0.14858 1.15352
616 -0.814876 1.96216 2.12464
617 -4.81906 -0.714207 4.8717
618 -2.85004 -5.47226 6.16996
619 2.13254 -5.40431 5.80985
620 4.41395 -1.94166 4.82214
621 4.28969 1.82235 4.66073
622 -0.087044 6.14511 6.14572
623 -6.75193 1.50788 6.91826
624 -2.68101 -3.148 4.13494
625 -3.82861 -3.091 4.92062
626 3.46909 -5.4438 6.4552
627 2.22971 1.35602 2.60967
628 -0.047414 2.80455 2.80495
629 -2.7671 1.31213 3.06244
630 -5.41085 -1.85825 5.72105
631 0.3772 -1.48202 1.52927
632 -2.02854 -4.49848 4.9347
