Index Real_Part Imagine_part Amplitude
0 -0.00372376 -2.56909e-05 0.00372384
1 0.00196925 -3.94523e-05 0.00196964
2 0.00424413 -3.38583e-05 0.00424427
3 -0.00404784 -1.16533e-05 0.00404786
4 0.00125324 1.62689e-05 0.00125334
5 -0.000979995 3.62095e-05 0.000980663
6 0.00062039 3.83856e-05 0.000621576
7 -0.0017059 2.17296e-05 0.00170604
8 -0.000692935 -5.58698e-06 0.000692957
9 0.00275615 -3.01626e-05 0.00275631
10 -0.00106845 -3.99404e-05 0.0010692
11 -0.0014641 -3.01232e-05 0.00146441
12 -0.000478091 -5.52759e-06 0.000478123
13 -0.000120934 2.17799e-05 0.00012288
14 0.00039289 3.84022e-05 0.000394762
15 -0.000675239 3.61841e-05 0.000676207
16 0.00211123 1.62141e-05 0.0021113
17 -0.000202398 -1.17106e-05 0.000202736
18 -0.000484722 -3.38901e-05 0.000485905
19 -0.00122338 -3.94429e-05 0.00122402
20 -0.000190977 -2.5645e-05 0.000192691
21 -0.000873062 7.34558e-07 0.000873062
22 0.00357977 2.67537e-05 0.00357987
23 -0.00113162 3.96473e-05 0.00113232
24 -0.00111616 3.30899e-05 0.00111665
25 -0.0011146 1.02985e-05 0.00111465
26 0.00135737 -1.75454e-05 0.00135748
27 0.00223845 -3.67815e-05 0.00223875
28 -0.00230771 -3.79725e-05 0.00230802
29 -0.000397898 -2.0534e-05 0.000398427
30 -0.000362665 6.97852e-06 0.000362732
31 0.00306316 3.10673e-05 0.00306331
32 -0.000928813 3.99144e-05 0.000929671
33 -0.00331972 2.91794e-05 0.00331985
34 -0.000299387 4.12885e-06 0.000299416
35 -0.000172901 -2.29473e-05 0.000174417
36 0.000151473 -3.87654e-05 0.000156354
37 0.00123702 -3.55651e-05 0.00123753
38 0.000937321 -1.49164e-05 0.000937439
39 -0.00299219 1.30503e-05 0.00299221
40 -0.000922385 3.46146e-05 0.000923034
41 0.000758482 3.91968e-05 0.000759494
42 0.000188748 2.45489e-05 0.000190337
43 -0.00255754 -2.1427e-06 0.00255754
44 0.00114302 -2.77831e-05 0.00114336
45 -0.00120172 -3.9793e-05 0.00120238
46 -0.000280588 -3.22803e-05 0.000282439
47 0.000420509 -8.93085e-06 0.000420603
48 -0.00269705 1.88002e-05 0.00269711
49 0.00131399 3.73077e-05 0.00131452
50 -0.00128488 3.7512e-05 0.00128543
51 0.000217098 1.93128e-05 0.000217955
52 0.000207941 -8.36139e-06 0.000208109
53 -2.69978e-05 -3.19334e-05 4.18166e-05
54 -0.000372475 -3.98388e-05 0.0003746
55 -0.00129735 -2.81992e-05 0.00129766
56 0.00151405 -2.72491e-06 0.00151406
57 -0.00220605 2.40862e-05 0.00220618
58 -0.00132239 3.90806e-05 0.00132296
59 0.000817293 3.49019e-05 0.000818038
60 -2.81161e-05 1.36002e-05 3.12327e-05
61 0.00139049 -1.43737e-05 0.00139057
62 -0.0016792 -3.52959e-05 0.00167958
63 -0.000131878 -3.89018e-05 0.000137496
64 -0.00272446 -2.34223e-05 0.00272456
65 -0.00143275 3.54822e-06 0.00143275
66 0.00100749 2.8778e-05 0.0010079
67 0.00124455 3.98892e-05 0.00124519
68 -0.0033871 3.14306e-05 0.00338725
69 0.00108183 7.55212e-06 0.00108186
70 -0.0022147 -2.00315e-05 0.00221479
71 -0.00131579 -3.77875e-05 0.00131634
72 -0.000137232 -3.70049e-05 0.000142134
